window_id,train_start_date,train_end_date,train_samples,validation_start_date,validation_end_date,validation_samples,test_start_date,test_end_date,test_samples,oos_start_date,oos_end_date,oos_samples,train_accuracy,train_auc,train_positive_rate,val_accuracy,val_auc,val_samples,val_positive_rate,val_start_date,val_end_date,test_accuracy,test_auc,test_positive_rate,oos_accuracy,oos_auc,oos_positive_rate,oos_backtest_total_return,oos_backtest_annualized_return,oos_backtest_sharpe,oos_backtest_max_drawdown,oos_backtest_final_equity,oos_backtest_bars
1,2018-01-31,2020-01-31,1512,2020-02-03,2020-07-31,378,2020-08-03,2021-02-01,378,2021-02-02,2021-05-03,189,0.96494708994709,0.9977322288518036,0.6686507936507936,0.5793650793650794,0.5538925843803892,378,0.6322751322751323,2020-02-03,2020-07-31,0.5634920634920635,0.5462442660550458,0.6322751322751323,0.5873015873015873,0.4971776924813728,0.8518518518518519,0.04575405233962049,0.19596432388258367,1.1820324730689933,-0.06479464947916669,104575.40523396205,63
2,2018-05-02,2020-05-01,1512,2020-05-04,2020-10-29,378,2020-10-30,2021-05-03,378,2021-05-04,2021-08-02,189,0.96494708994709,0.9964175400567822,0.66005291005291,0.5396825396825397,0.5392649903288201,378,0.5582010582010583,2020-05-04,2020-10-29,0.4894179894179894,0.46040120593692024,0.5317460317460317,0.5502645502645502,0.40047725996631106,0.656084656084656,0.05479023889895407,0.23783970376792585,1.861679677619457,-0.045446342456489264,105479.02388989541,63
3,2018-08-01,2020-07-31,1512,2020-08-03,2021-02-01,378,2021-02-02,2021-08-02,378,2021-08-03,2021-10-29,189,0.9708994708994709,0.9979178067564501,0.666005291005291,0.4708994708994709,0.4690366972477064,378,0.4973544973544973,2020-08-03,2021-02-01,0.4973544973544973,0.48592995169082126,0.5343915343915344,0.5185185185185185,0.4900966183574879,0.6613756613756614,0.03820502310224971,0.16180302549457592,1.3226295559159627,-0.05689724241050109,103820.50231022497,63
4,2018-10-30,2020-10-29,1512,2020-10-30,2021-05-03,378,2021-05-04,2021-10-29,378,2021-11-01,2022-01-31,189,0.9722222222222222,0.997654658949901,0.6554232804232805,0.43386243386243384,0.4461386827458256,378,0.2751322751322751,2020-10-30,2021-05-03,0.4497354497354497,0.437823584268579,0.5264550264550265,0.5238095238095238,0.5996640537513998,0.38095238095238093,0.04048266017508384,0.17203178051124768,1.2853697996223576,-0.07588935398834074,104048.26601750839,63
5,2019-02-01,2021-02-01,1512,2021-02-02,2021-08-02,378,2021-08-03,2022-01-31,378,2022-02-01,2022-05-02,189,0.9735449735449735,0.9984618133511494,0.6759259259259259,0.5423280423280423,0.46793478260869564,378,0.6375661375661376,2021-02-02,2021-08-02,0.5740740740740741,0.5903521768862549,0.8121693121693122,0.3492063492063492,0.42937720329024676,0.798941798941799,-0.08294410977970867,-0.29273328719288483,-1.2896294271671487,-0.11704901580303428,91705.58902202913,63
6,2019-05-03,2021-05-03,1512,2021-05-04,2021-10-29,378,2021-11-01,2022-05-02,378,2022-05-03,2022-08-02,189,0.9682539682539683,0.9976479510143094,0.6501322751322751,0.5740740740740741,0.5108209795157089,378,0.7777777777777778,2021-05-04,2021-10-29,0.48412698412698413,0.4990646258503401,0.7433862433862434,0.49206349206349204,0.44323394495412843,0.7354497354497355,-0.04965712769009978,-0.18431723266491673,-0.5993586184209984,-0.17975010647599332,95034.28723099003,63
7,2019-08-02,2021-08-02,1512,2021-08-03,2022-01-31,378,2022-02-01,2022-08-02,378,2022-08-03,2022-10-31,189,0.9735449735449735,0.9978519002420936,0.6666666666666666,0.5582010582010583,0.49601094141782537,378,0.8227513227513228,2021-08-03,2022-01-31,0.48677248677248675,0.48673111951800474,0.7063492063492064,0.38095238095238093,0.4431845309142994,0.7301587301587301,-0.059780436593231845,-0.21852132096960286,-0.9178489756957439,-0.16210417904830243,94021.95634067681,63
8,2019-10-31,2021-10-29,1512,2021-11-01,2022-05-02,378,2022-05-03,2022-10-31,378,2022-11-01,2023-02-01,189,0.9728835978835979,0.9979937087617001,0.6633597883597884,0.5264550264550265,0.5305839002267574,378,0.5846560846560847,2021-11-01,2022-05-02,0.4497354497354497,0.44492143658810324,0.708994708994709,0.5555555555555556,0.509447331128956,0.7936507936507936,0.08262309407979607,0.37375456372360705,1.3610368761214882,-0.08371761323104898,108262.3094079796,63
9,2020-02-03,2022-01-31,1512,2022-02-01,2022-08-02,378,2022-08-03,2023-02-01,378,2023-02-02,2023-05-03,189,0.968915343915344,0.9966311627531671,0.6302910052910053,0.46825396825396826,0.47891270842090516,378,0.6243386243386243,2022-02-01,2022-08-02,0.5,0.486603018170619,0.6296296296296297,0.6137566137566137,0.4992797118847539,0.8148148148148148,0.08241448478581614,0.37269604150541613,2.157674886063216,-0.044814467962541515,108241.44847858162,63
10,2020-05-04,2022-05-02,1512,2022-05-03,2022-10-31,378,2022-11-01,2023-05-03,378,2023-05-04,2023-08-03,189,0.9761904761904762,0.9972133757961783,0.5978835978835979,0.455026455026455,0.4541245791245791,378,0.671957671957672,2022-05-03,2022-10-31,0.5714285714285714,0.4921291474482964,0.701058201058201,0.5238095238095238,0.530549396403055,0.5767195767195767,0.061407413353039564,0.2691953329571368,2.908932668215772,-0.01446179970568906,106140.74133530396,63
