date,window_id,returns,equity
2021-02-02,1,0.0,100000.0
2021-02-03,1,-0.0005720532221358265,99942.79467778641
2021-02-04,1,0.0037858224975366728,100321.16035834426
2021-02-05,1,0.001311890467803556,100452.77073233736
2021-02-08,1,0.0014254508385651565,100595.96121861396
2021-02-09,1,0.001557654543098863,100752.65497462354
2021-02-10,1,-0.004182077498368519,100331.29956335327
2021-02-11,1,0.002213389863990667,100553.3718448478
2021-02-12,1,0.0029488170553626514,100849.8853427181
2021-02-16,1,-0.0073285771147225676,100110.79918097307
2021-02-17,1,-0.004216472677146754,99688.68473153918
2021-02-18,1,-0.004759276709897509,99214.23869605604
2021-02-19,1,-0.004129804277261173,98804.50330872386
2021-02-22,1,-0.021201914404341604,96709.6586868088
2021-02-23,1,-0.0016642503715158519,96548.70960141013
2021-02-24,1,0.004366787887987389,96970.31733709837
2021-02-25,1,-0.027379151044193972,94315.35237192253
2021-02-26,1,0.0038344862571735305,94677.00329443315
2021-03-01,1,0.031929384570313024,97699.9817425859
2021-03-02,1,-0.005530155871351972,97159.68561492115
2021-03-03,1,-0.013492300355349873,95848.77795417327
2021-03-04,1,-0.009880170279373601,94901.77570691617
2021-03-05,1,0.016874808150186826,96503.22496508245
2021-03-08,1,-0.02118966704069436,94458.35375971913
2021-03-09,1,0.027166416597565357,97024.44874907586
2021-03-10,1,0.001786094875922295,97197.74361982578
2021-03-11,1,0.010192035059545912,98188.38643050779
2021-03-12,1,-0.0014398953384590074,98047.00543059569
2021-03-15,1,0.0007509947666413108,98120.63821855892
2021-03-16,1,0.00363217094623014,98477.02914992193
2021-03-17,1,0.00024997250692782025,98501.64569977333
2021-03-18,1,-0.013918404384040128,97130.65996243044
2021-03-19,1,-0.0011740054547538792,97016.6280378107
2021-03-22,1,0.010795623592666947,98063.9830363367
2021-03-23,1,-0.0005387495635595929,98011.15110827495
2021-03-24,1,-0.004736390955623615,97546.93197861545
2021-03-25,1,-0.0024423415641962043,97308.68905218427
2021-03-26,1,0.011486513893179895,98426.4266609093
2021-03-29,1,-0.0019003976637035347,98239.37730963623
2021-03-30,1,-0.005673118509051278,97682.05367990326
2021-03-31,1,0.006948725425576674,98360.81944993135
2021-04-01,1,0.01120066862218505,99462.5263939966
2021-04-05,1,0.021766156526912495,101627.4433120505
2021-04-06,1,-0.0004062581979121793,101586.1563300721
2021-04-07,1,0.0031577130699211864,101906.93626363862
2021-04-08,1,0.009561229075512712,102881.29182563894
2021-04-09,1,0.012350893048939549,104151.96765771415
2021-04-12,1,-0.003997411552261743,103735.62937900842
2021-04-13,1,0.012069541135129258,104987.67082497689
2021-04-14,1,-0.003816588223746753,104586.97611686766
2021-04-15,1,0.008841002287496957,105511.6298119593
2021-04-16,1,0.0027687411203067835,105803.76420009026
2021-04-19,1,-0.001232155941574553,105673.39746339015
2021-04-20,1,-0.007222440870675917,104910.17759860739
2021-04-21,1,0.0072283284401271075,105668.5028190022
2021-04-22,1,-0.011297481381771224,104474.71487576487
2021-04-23,1,0.01466308793367821,106006.63680683417
2021-04-26,1,0.0021846218341785573,106238.22122017022
2021-04-27,1,0.0010930813801139916,106354.34824164241
2021-04-28,1,-0.011437198224886647,105137.95247872411
2021-04-29,1,-0.0006959235163591648,105064.78450513231
2021-04-30,1,-0.007581686673939325,104268.21622854943
2021-05-03,1,0.002946142329118384,104575.40523396202
2021-05-04,2,0.0,104575.40523396202
2021-05-05,2,-0.006480168541623255,103897.7389827374
2021-05-06,2,0.011229692719659123,105064.47866578089
2021-05-07,2,0.007829739712526207,105887.1061867662
2021-05-10,2,-0.018860969889744172,103889.97266526545
2021-05-11,2,-0.00672637969312917,103191.16926281007
2021-05-12,2,-0.02050800258057528,101074.92449727577
2021-05-13,2,0.011469539945428986,102234.20738127851
2021-05-14,2,0.013542232997755033,103618.6868379766
2021-05-17,2,-0.0070531099025537,102887.85285175004
2021-05-18,2,-0.00660195002732189,102208.59238880433
2021-05-19,2,0.00040392508652353776,102249.87700332844
2021-05-20,2,0.011505675420928396,103426.33089995859
2021-05-21,2,-0.006665770566275375,102736.91470766779
2021-05-24,2,0.012046916690862997,103974.57776022736
2021-05-25,2,-0.0009741300161751898,103873.29300311199
2021-05-26,2,0.00021158265270715404,103895.27078999102
2021-05-27,2,-0.006829610185900559,103185.70659033679
2021-05-28,2,-0.0006816554715789458,103115.36948885075
2021-06-01,2,-0.00425655800725,102676.45293718243
2021-06-02,2,0.0024582649725375383,102928.85886494232
2021-06-03,2,-0.0074092725193611875,102166.2308995051
2021-06-04,2,0.0147073398351798,103668.82437702356
2021-06-07,2,0.004786826531909538,104165.06905608336
2021-06-08,2,-0.0024057269614057297,103914.47634101845
2021-06-09,2,0.0006516597001735569,103982.19321751452
2021-06-10,2,0.003830209694672071,104380.46682204951
2021-06-11,2,0.004427486613052922,104842.60994156836
2021-06-14,2,0.010666506267944076,105960.9142976577
2021-06-15,2,-0.004109038411582944,105525.51683068219
2021-06-16,2,-3.6036805951655815e-05,105521.71402810921
2021-06-17,2,0.008828340242247545,106453.29562249451
2021-06-18,2,-0.005283496246183406,105890.8500346792
2021-06-21,2,0.00891306185063545,106834.66173045467
2021-06-22,2,0.007991268526311268,107688.40620026035
2021-06-23,2,-0.0010030035981914986,107580.39434135798
2021-06-24,2,0.0011318804191555731,107702.162483198
2021-06-25,2,-0.0029111061143907158,107388.63005946005
2021-06-28,2,0.00897480757618152,108352.42235011344
2021-06-29,2,0.0034465635024332197,108725.86585438557
2021-06-30,2,-0.0006495244585604798,108655.24574523498
2021-07-01,2,0.0008972121068644423,108752.73254719193
2021-07-02,2,0.012708065322255102,110134.76937637539
2021-07-06,2,0.0006105079312088701,110202.00752658151
2021-07-07,2,0.0005896253880588453,110266.98542803424
2021-07-08,2,-0.0031831158831749917,109915.99283532842
2021-07-09,2,0.0006665458445476169,109989.25688360215
2021-07-12,2,-0.0007940979271279236,109901.91464270453
2021-07-13,2,0.004650733309928601,110413.03913795829
2021-07-14,2,0.004240528608813188,110881.2487892088
2021-07-15,2,-0.0033807917519381725,110506.38237785763
2021-07-16,2,-0.005015327270952441,109952.15670470367
2021-07-19,2,-0.013607032826888688,108456.03409903555
2021-07-20,2,0.011418827488189232,109694.4748424656
2021-07-21,2,0.0009513099887605847,109798.82829209509
2021-07-22,2,0.00917674770535859,110806.42443767564
2021-07-23,2,0.01001003134379097,111915.60021939018
2021-07-26,2,0.000954064440357838,112022.3749138808
2021-07-27,2,-0.009428712572580822,110966.14813911993
2021-07-28,2,-0.004520255558580377,110464.55279117981
2021-07-29,2,0.003133009768975681,110810.63931420012
2021-07-30,2,-0.003051579669241744,110472.49182013323
2021-08-02,2,-0.001515084413232226,110305.11666968564
2021-08-03,3,0.0,110305.11666968564
2021-08-04,3,-0.0005096236991276593,110248.90256809571
2021-08-05,3,0.0037583352924355218,110663.25490956967
2021-08-06,3,-0.001662332806761313,110479.29575043052
2021-08-09,3,-0.0014230945347334378,110322.07326844687
2021-08-10,3,-0.0032853468926447027,109959.62698784425
2021-08-11,3,0.0011644049535293188,110087.66452219714
2021-08-12,3,0.010199163069968264,111210.466564651
2021-08-13,3,0.003987249972307927,111653.89049438124
2021-08-16,3,0.006547032321842394,112384.8921243074
2021-08-17,3,-0.003794577965430257,111958.43888900525
2021-08-18,3,-0.01061284712032029,110770.24109324651
2021-08-19,3,0.007785359336331066,111632.62722392946
2021-08-20,3,0.012047266044776572,112977.4951833735
2021-08-23,3,0.003706720095562943,113396.27113511608
2021-08-24,3,-0.002484709396227913,113114.51435472946
2021-08-25,3,-0.0034982270168915086,112718.81410461117
2021-08-26,3,-0.005172563591495871,112135.76887069707
2021-08-27,3,0.003103978501353355,112483.83588650443
2021-08-30,3,0.014518232278264653,114116.9023434549
2021-08-31,3,-0.004764614102437004,113573.17934122286
2021-09-01,3,0.0014466624538675976,113737.48139554219
2021-09-02,3,0.001727004974524604,113933.9065917022
2021-09-03,3,0.001399778200275259,114093.38879042146
2021-09-07,3,0.0041486603162157465,114566.72350483885
2021-09-08,3,-0.0034301817275894653,114173.73882328277
2021-09-09,3,-0.005592442555411359,113535.22874757703
2021-09-10,3,-0.012983358240455822,112061.16019983514
2021-09-13,3,0.002772139324943357,112371.8093488239
2021-09-14,3,2.3917276918972163e-06,112372.07811159211
2021-09-15,3,0.00778760869626316,113247.18788431112
2021-09-16,3,-7.192520294108107e-05,113239.04255734003
2021-09-17,3,-0.012090532031824641,111869.92228604735
2021-09-20,3,-0.01338557789357342,110372.47872733946
2021-09-21,3,0.0017067142963902437,110560.85301471144
2021-09-22,3,0.01117915351697607,111796.82976353071
2021-09-23,3,0.004758423400380796,112328.80641436588
2021-09-24,3,-3.854108591327954e-05,112324.47714018734
2021-09-27,3,-0.009380844264190391,111270.77871307862
2021-09-28,3,-0.020114608430459202,109032.61056951276
2021-09-29,3,0.0026878346634218175,109325.67219964489
2021-09-30,3,-0.00549675059179866,108724.7362462827
2021-10-01,3,0.011144065346845977,109936.37181182987
2021-10-04,3,-0.010016476159323884,108835.1967645341
2021-10-05,3,0.010075026260797815,109931.7142300359
2021-10-06,3,-0.0015697627756197097,109759.14751717752
2021-10-07,3,0.0025090230127542412,110034.5357441584
2021-10-08,3,-0.0008927120316448711,109936.30659020312
2021-10-11,3,-0.0009230939461477572,109834.82505112787
2021-10-12,3,-0.004498821382234897,109340.69779167384
2021-10-13,3,0.0025646516895037053,109621.11859699676
2021-10-14,3,0.013930652795358212,111148.21233921031
2021-10-15,3,0.004084572221548344,111602.2052398058
2021-10-18,3,0.007312212660705253,112418.26429792293
2021-10-19,3,0.005945710597458964,113086.67076330703
2021-10-20,3,0.00019269476171812627,113108.46197238327
2021-10-21,3,0.0042119997146838895,113584.87478193929
2021-10-22,3,-0.0035158111250407353,113185.53181554459
2021-10-25,3,-0.0012522677880647537,113043.793219977
2021-10-26,3,0.00370502548285101,113462.62335453514
2021-10-27,3,0.013458417643274379,114989.65072654201
2021-10-28,3,0.00930884751029537,116060.07185041752
2021-10-29,3,-0.0059894597198189015,115364.93472499015
2021-11-01,4,0.0,115364.93472499015
2021-11-02,4,0.0029966925430542357,115710.64796461046
2021-11-03,4,0.0033010333830050254,116092.61267631077
2021-11-04,4,-0.001192460965155906,115954.17676735131
2021-11-05,4,0.0012144294869751437,116094.9949387555
2021-11-08,4,-0.0018832744678325408,115876.35619894418
2021-11-09,4,0.0008291991784346031,115972.44077830436
2021-11-10,4,-0.006470611628870304,115222.02815437579
2021-11-11,4,-0.00011486337081090259,115208.7933638303
2021-11-12,4,0.004785757736246676,115760.15473795489
2021-11-15,4,2.0579294348399557e-05,115762.53700025305
2021-11-16,4,0.0022453834638456183,116022.46828656623
2021-11-17,4,0.005548409904037266,116666.20849869827
2021-11-18,4,0.009728743667819062,117801.22413587844
2021-11-19,4,0.005887061273515348,118494.72716046148
2021-11-22,4,0.0010297907067549072,118616.75192929078
2021-11-23,4,0.0008323574525805899,118715.48346676002
2021-11-24,4,0.001161655695253172,118853.38998424391
2021-11-26,4,-0.011173252050356242,117525.41110091066
2021-11-29,4,0.007585555181575998,118416.90659205402
2021-11-30,4,0.011051260557288112,119725.56268119086
2021-12-01,4,-0.0011474335370456057,119588.18555532879
