window_id,train_start_date,train_end_date,train_samples,validation_start_date,validation_end_date,validation_samples,test_start_date,test_end_date,test_samples,oos_start_date,oos_end_date,oos_samples,train_accuracy,train_auc,train_positive_rate,val_accuracy,val_auc,val_samples,val_positive_rate,val_start_date,val_end_date,test_accuracy,test_auc,test_positive_rate,oos_accuracy,oos_auc,oos_positive_rate,oos_backtest_total_return,oos_backtest_annualized_return,oos_backtest_sharpe,oos_backtest_max_drawdown,oos_backtest_final_equity,oos_backtest_bars
1,2018-01-31,2020-01-31,1512,2020-02-03,2020-07-31,378,2020-08-03,2021-02-01,378,2021-02-02,2021-05-03,189,0.9642857142857143,0.9976602962110428,0.667989417989418,0.5661375661375662,0.5471791081547179,378,0.6190476190476191,2020-02-03,2020-07-31,0.5555555555555556,0.5530103211009174,0.6243386243386243,0.5396825396825397,0.4959358771731768,0.8253968253968254,0.03886208149621906,0.16474694274666302,1.0027209544882376,-0.06479464947916669,103886.2081496219,63
2,2018-05-02,2020-05-01,1512,2020-05-04,2020-10-29,378,2020-10-30,2021-05-03,378,2021-05-04,2021-08-02,189,0.9656084656084656,0.9968771692892013,0.6620370370370371,0.544973544973545,0.539532807617914,378,0.5687830687830688,2020-05-04,2020-10-29,0.4973544973544973,0.4549223098330241,0.5555555555555556,0.5661375661375662,0.4104435710275126,0.6825396825396826,0.05528207867656931,0.24015009590142933,1.8769274124387403,-0.045446342456489264,105528.20786765692,63
3,2018-08-01,2020-07-31,1512,2020-08-03,2021-02-01,378,2021-02-02,2021-08-02,378,2021-08-03,2021-10-29,189,0.9708994708994709,0.9973228944011502,0.6620370370370371,0.48412698412698413,0.46559633027522934,378,0.5317460317460317,2020-08-03,2021-02-01,0.5,0.49468599033816424,0.5582010582010583,0.5238095238095238,0.4915458937198068,0.656084656084656,0.04587110922928761,0.19649989673964408,1.6631885952312124,-0.0509920077997994,104587.11092292875,63
4,2018-10-30,2020-10-29,1512,2020-10-30,2021-05-03,378,2021-05-04,2021-10-29,378,2021-11-01,2022-01-31,189,0.9722222222222222,0.997654658949901,0.6554232804232805,0.43386243386243384,0.44555890538033394,378,0.2751322751322751,2020-10-30,2021-05-03,0.4444444444444444,0.4389169373251439,0.5211640211640212,0.5238095238095238,0.5996640537513998,0.38095238095238093,0.04048266017508384,0.17203178051124768,1.2853697996223576,-0.07588935398834074,104048.26601750839,63
5,2019-02-01,2021-02-01,1512,2021-02-02,2021-08-02,378,2021-08-03,2022-01-31,378,2022-02-01,2022-05-02,189,0.9735449735449735,0.9984618133511494,0.6759259259259259,0.5423280423280423,0.4678442028985507,378,0.6375661375661376,2021-02-02,2021-08-02,0.5740740740740741,0.590979028949168,0.8121693121693122,0.3492063492063492,0.42937720329024676,0.798941798941799,-0.08294410977970867,-0.29273328719288483,-1.2896294271671487,-0.11704901580303428,91705.58902202913,63
6,2019-05-03,2021-05-03,1512,2021-05-04,2021-10-29,378,2021-11-01,2022-05-02,378,2022-05-03,2022-08-02,189,0.9695767195767195,0.9978638214319905,0.6514550264550265,0.5291005291005291,0.4954497218381194,378,0.7486772486772487,2021-05-04,2021-10-29,0.46825396825396826,0.49608843537414965,0.7380952380952381,0.4708994708994709,0.45022935779816514,0.671957671957672,-0.004001903297613629,-0.015911777919553227,0.05784221970252553,-0.1169928953258248,99599.80967023864,63
7,2019-08-02,2021-08-02,1512,2021-08-03,2022-01-31,378,2022-02-01,2022-08-02,378,2022-08-03,2022-10-31,189,0.9728835978835979,0.9978000230565269,0.669973544973545,0.5582010582010583,0.4915944837018464,378,0.8333333333333334,2021-08-03,2022-01-31,0.46296296296296297,0.4587922096118817,0.708994708994709,0.38095238095238093,0.411792790642158,0.6984126984126984,-0.0982979368823822,-0.33892268667771963,-1.5798043944159503,-0.17440682269087915,90170.20631176178,63
8,2019-10-31,2021-10-29,1512,2021-11-01,2022-05-02,378,2022-05-03,2022-10-31,378,2022-11-01,2023-02-01,189,0.9728835978835979,0.9979937087617001,0.6633597883597884,0.5264550264550265,0.529109977324263,378,0.58994708994709,2021-11-01,2022-05-02,0.4497354497354497,0.44494949494949493,0.708994708994709,0.5555555555555556,0.5082664147378365,0.7936507936507936,0.07611205699602208,0.3410037410299167,1.2719090298394717,-0.08371761323104898,107611.2056996022,63
9,2020-02-03,2022-01-31,1512,2022-02-01,2022-08-02,378,2022-08-03,2023-02-01,378,2023-02-02,2023-05-03,189,0.968915343915344,0.9966311627531671,0.6302910052910053,0.46825396825396826,0.4793330531035449,378,0.6243386243386243,2022-02-01,2022-08-02,0.5,0.4865470224262956,0.6296296296296297,0.6137566137566137,0.4978391356542617,0.8148148148148148,0.08241448478581614,0.37269604150541613,2.157674886063216,-0.044814467962541515,108241.44847858162,63
10,2020-05-04,2022-05-02,1512,2022-05-03,2022-10-31,378,2022-11-01,2023-05-03,378,2023-05-04,2023-08-03,189,0.9761904761904762,0.9972133757961783,0.5978835978835979,0.455026455026455,0.4540965207631874,378,0.671957671957672,2022-05-03,2022-10-31,0.5661375661375662,0.49201011754203244,0.6957671957671958,0.5238095238095238,0.5323971421532397,0.5767195767195767,0.061407413353039564,0.2691953329571368,2.908932668215772,-0.01446179970568906,106140.74133530396,63
