date,symbol,side,quantity,price,trade_value,commission
2018-02-20,AAPL,buy,824.6162759235802,40.42284188,33333.333333333336,3.3333333333333335
2018-02-21,AAPL,sell,-0.08210374823611398,40.59903969,-3.3333333333357587,0.00033333333333357586
2018-02-22,AAPL,sell,-8.259910069225325e-06,40.35556404,-0.0003333333297632634,3.3333332976326344e-08
2018-02-23,AAPL,sell,-8.172563794913621e-10,40.79312028,-3.333843778818846e-08,3.3338437788188457e-12
2018-03-22,AAPL,sell,-824.6166255771745,39.93170643,-32928.34900984496,3.2928349009844964
2018-03-23,AAPL,buy,0.08245341721604028,39.5619558,3.262018447459945,0.0003262018447459945
2018-03-26,AAPL,buy,8.244517269872422e-06,39.48654826,0.00032554752905722086,3.255475290572208e-08
2018-03-27,AAPL,buy,8.243692900572734e-10,40.80428001999999,3.363779535138558e-08,3.363779535138558e-12
2018-03-28,AAPL,buy,8.242868613710377e-14,39.2949291,3.239029377563645e-12,3.239029377563645e-16
2018-04-13,AAPL,buy,801.6877526275342,41.06560615,32921.79350468095,3.292179350468095
2018-04-16,AAPL,sell,-0.08006859255527829,41.11698789,-3.292179350464721,0.00032921793504647214
2018-04-17,AAPL,sell,-7.942042101929005e-06,41.45255433,-0.0003292179317213595,3.292179317213595e-08
2018-04-18,AAPL,sell,-7.882043654238194e-10,41.77052253,-3.292370820418e-08,3.2923708204180003e-12
2018-04-19,AAPL,sell,-1.7704270382473784e-13,41.09718987,-7.275957614183426e-12,7.275957614183426e-16
2018-04-20,AAPL,buy,9.075931131360822e-14,40.083807979999996,3.637978807091713e-12,3.637978807091713e-16
2018-04-25,AAPL,sell,-801.6878448766363,38.1981798,-30623.01644207226,3.062301644207226
2018-04-26,AAPL,buy,0.0801607684108413,38.559155530000005,3.090931536557941,0.0003090931536557941
2018-04-27,AAPL,buy,8.01527531355727e-06,38.53055267,0.00030883298763356915,3.088329876335691e-08
2018-04-30,AAPL,buy,8.014473866180109e-10,38.0988095,3.053419130703245e-08,3.0534191307032448e-12
2018-05-01,AAPL,buy,8.013672498939054e-14,39.0989095,3.1332585579865693e-12,3.1332585579865694e-16
2018-05-07,AAPL,buy,703.7073072293524,43.507950359999995,30616.86259090393,3.061686259090393
2018-05-08,AAPL,sell,-0.0704612544603945,43.452054360000005,-3.0616862590868545,0.00030616862590868545
2018-05-09,AAPL,sell,-6.986798651211012e-06,43.82101746,-0.0003061686256842222,3.061686256842222e-08
2018-05-10,AAPL,sell,-6.94244798760502e-10,44.10148941,-3.0617229640483856e-08,3.0617229640483857e-12
2018-05-11,AAPL,sell,-8.142019069408425e-14,44.6815314,-3.637978807091713e-12,3.637978807091713e-16
2018-06-20,AAPL,sell,-703.7072097083698,43.94170539,-30922.094889824133,3.092209488982413
2018-06-21,AAPL,buy,0.07036368460233976,44.16721628,3.1077680760892457,0.0003107768076089246
2018-06-22,AAPL,buy,7.035664893747101e-06,43.8983894,0.00030885435719361985,3.0885435719361985e-08
2018-06-25,AAPL,buy,7.034961397604391e-10,43.25662523,3.043086886836901e-08,3.043086886836901e-12
